State,Player,From,To,Pos,GP,G,A,PTS,#ERROR!,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
Michigan,Marty Howe,1980,1985,D,197,2,29,31,7,99,,,,,,,Detroit,1954-02-18,
Michigan,Matt Hunwick,2008,2019,D,535,25,94,119,-19,207,,,,,,,Warren,1985-05-21,
Michigan,Shawn Hunwick,2012,2012,G,1,0,0,0,0,0,1,0,0,0,,0,Sterling Heights,1987-04-09,
Michigan,Al Iafrate,1985,1998,D,799,152,311,463,-72,1301,,,,,,,Dearborn,1966-03-21,
Michigan,Joshua Jacobs,2019,2020,D,3,0,0,0,0,2,,,,,,,Shelby Township,1996-02-15,
Michigan,Bob Johnson,1973,1975,G,23,0,0,0,0,8,23,9,9,1,0.881,3.73,Farmington,1948-11-12,
Michigan,Brent Johnson,1999,2012,G,309,0,10,10,0,52,309,140,112,31,0.904,2.63,Farmington,1977-03-12,
Michigan,Brad Jones,1987,1992,LW,148,25,31,56,11,122,,,,,,,Sterling Heights,1965-06-26,
Michigan,Max Jones,2019,2021,LW,123,15,11,26,-13,76,,,,,,,Rochester,1998-02-17,
Michigan,Dakota Joshua,2021,2021,C,11,1,0,1,-3,5,,,,,,,Dearburn,1996-05-15,
Michigan,Steven Kampfer,2011,2021,D,224,14,21,35,-5,108,,,,,,,Ann Arbor,1988-09-24,
Michigan,Dan Keczmer,1991,2000,D,235,8,38,46,-10,212,,,,,,,Mt. Clemens,1968-05-25,
Michigan,Tanner Kero,2016,2021,RW,96,10,17,27,12,14,,,,,,,Hancock,1992-07-24,
Michigan,Ryan Kesler,2004,2019,C,1001,258,315,573,10,920,,,,,,,Livonia,1984-08-31,
Michigan,Ike Klingbeil,1937,1937,D,5,1,2,3,,2,,,,,,,Hancock,1908-11-03,1995-06-17
Michigan,Torey Krug,2012,2021,D,565,68,292,360,30,243,,,,,,,Livonia,1991-04-12,
Michigan,Joel L'Esperance,2019,2021,RW,33,5,0,5,-6,10,,,,,,,Brighton,1995-08-18,
Michigan,Benjamin LaPrairie,1937,1937,D,7,0,0,0,,0,,,,,,,Sault Ste. Marie,1911-10-20,1986-04-20
Michigan,Dylan Larkin,2016,2021,C,429,115,173,288,-65,273,,,,,,,Waterford,1996-07-30,
Michigan,Drew Larman,2007,2010,C,26,2,1,3,-3,4,,,,,,,Canton,1985-05-15,
Michigan,Chad Larose,2006,2013,RW,508,85,95,180,-29,286,,,,,,,Fraser,1982-03-27,
Michigan,David Legwand,1999,2016,C,1136,228,390,618,7,551,,,,,,,Detroit,1980-08-17,
Michigan,Ken Leiter,1985,1990,D,143,14,36,50,18,62,,,,,,,Detroit,1961-04-19,
Michigan,Bryan Lerg,2015,2016,C,8,1,0,1,0,0,,,,,,,Livonia,1986-01-20,
Michigan,Chris Luongo,1991,1996,D,218,8,23,31,-73,176,,,,,,,Detroit,1967-03-17,
Michigan,Mackenzie MacEachern,2019,2021,LW,97,11,6,17,4,47,,,,,,,Bloomfield Hills,1994-03-09,
Michigan,Peter Mannino,2009,2012,G,6,0,0,0,0,0,6,1,1,0,0.882,3.99,Farmington Hills,1984-02-17,
Michigan,Cooper Marody,2019,2019,C,6,0,0,0,-1,0,,,,,,,Brighton,1996-12-20,
Michigan,Alec Martinez,2010,2021,D,648,71,158,229,49,201,,,,,,,Rochester Hills,1987-07-26,
Michigan,Pat Mayer,1988,1988,D,1,0,0,0,0,4,,,,,,,Royal Oak,1961-07-24,
Michigan,Gerald Mayhew,2020,2021,F,17,2,1,3,5,2,,,,,,,Wyandotte,1992-12-31,
Michigan,Michael McCarron,2016,2021,RW,74,2,6,8,-15,126,,,,,,,Grosse Pointe,1995-03-07,
Michigan,Mike McDougal,1979,1983,RW,61,8,10,18,-30,43,,,,,,,Port Huron,1958-04-30,
Michigan,Don McSween,1988,1996,D,47,3,10,13,2,55,,,,,,,Detroit,1964-06-09,
Michigan,Andy Miele,2012,2014,C,15,0,2,2,2,11,,,,,,,Grosse Pointe Woods,1988-04-15,
Michigan,Andrew Miller,2015,2016,F,15,1,5,6,-3,0,,,,,,,Bloomfield Hills,1988-09-18,
Michigan,Kelly Miller,1985,1999,LW,1057,181,282,463,71,512,,,,,,,Lansing,1963-03-03,
Michigan,Kevin Miller,1989,2004,C,620,150,185,335,-7,429,,,,,,,Lansing,1965-09-02,
Michigan,Kip Miller,1991,2004,C,449,74,165,239,-32,105,,,,,,,Lansing,1969-06-11,
Michigan,Ryan Miller,2003,2021,G,794,0,12,12,0,48,794,390,289,87,0.914,2.63,East Lansing,1980-07-17,
Michigan,Jeff Mitchell,1998,1998,C/RW,7,0,0,0,0,7,,,,,,,Wayne,1975-05-16,
Michigan,Mike Modano*,1990,2011,C,1499,561,813,1374,114,926,,,,,,,Livonia,1970-06-07,
Michigan,Griffen Molino,2017,2017,C,5,0,0,0,-2,0,,,,,,,Trenton,1994-01-21,
Michigan,Gary Morrison,1980,1982,RW,43,1,15,16,5,70,,,,,,,Detroit,1955-11-08,
Michigan,Ken Morrow,1980,1989,D,550,17,88,105,142,309,,,,,,,Flint,1956-10-17,
Michigan,Dave Moss,2007,2015,LW,501,78,100,178,-23,157,,,,,,,Livonia,1981-12-28,
Michigan,Tyler Motte,2017,2021,C,207,28,17,45,-27,54,,,,,,,St. Clair,1995-03-10,
Michigan,Pat Neaton,1994,1994,D,9,1,1,2,3,12,,,,,,,Redford,1971-05-21,
Michigan,Jim Niekamp,1971,1972,D,29,0,2,2,-17,37,,,,,,,Detroit,1946-03-11,
Michigan,Joshua Norris,2020,2021,C,47,12,13,25,-13,8,,,,,,,Oxford,1999-05-05,
Michigan,Jordan Oesterle,2015,2021,D,248,15,50,65,-32,44,,,,,,,Dearborn Heights,1992-06-25,
Michigan,Steven Oleksy,2013,2017,D,73,3,17,20,17,110,,,,,,,Chesterfield,1986-02-04,
Michigan,Rob Palmer,1974,1976,C,16,0,3,3,2,2,,,,,,,Detroit,1952-10-02,
Michigan,Aaron Palushaj,2011,2014,RW,68,3,11,14,-1,18,,,,,,,Livonia,1989-09-07,
Michigan,Scott Parse,2010,2012,C,73,14,16,30,19,36,,,,,,,Portage,1984-09-05,
Michigan,Greg Pateryn,2013,2021,D,278,4,37,41,-14,166,,,,,,,Sterling Heights,1990-06-20,
Michigan,Craig Patrick*,1972,1979,RW,401,72,91,163,-133,61,,,,,,,Detroit,1946-05-20,
Michigan,Pat Peake,1994,1998,C,134,28,41,69,3,105,,,,,,,Rochester,1973-05-28,
Michigan,Jeff Petry,2011,2021,D,720,80,203,283,-108,281,,,,,,,Ann Arbor,1987-12-09,
Michigan,Blake Pietila,2016,2019,LW,38,1,3,4,-12,12,,,,,,,Milford,1993-02-20,
Michigan,Kevin Porter,2009,2017,C,249,29,29,58,-27,60,,,,,,,Detroit,1986-03-12,
Michigan,Corey Potter,2009,2016,D,130,8,24,32,-11,53,,,,,,,Lansing,1984-01-05,
Michigan,Wayne Presley,1985,1996,RW,684,155,147,302,-39,953,,,,,,,Dearborn,1965-03-23,
Michigan,Brian Rafalski,2000,2011,D,833,79,436,515,178,282,,,,,,,Dearborn,1973-09-28,
Michigan,Zach Redmond,2013,2018,D,133,9,29,38,12,50,,,,,,,Traverse City,1988-07-26,
Michigan,Erik Reitz,2006,2009,D,48,1,1,2,-7,69,,,,,,,Detroit,1982-07-29,
Michigan,Bobby Reynolds,1990,1990,LW,7,1,1,2,-3,0,,,,,,,Flint,1967-07-14,
Michigan,Andy Roach,2006,2006,D,5,1,2,3,0,10,,,,,,,Mattawan,1973-08-22,
Michigan,Doug Roberts,1966,1975,RW,419,43,104,147,-125,342,,,,,,,Detroit,1942-10-28,
Michigan,Gordie Roberts,1980,1994,D,1097,61,359,420,56,1582,,,,,,,Detroit,1957-10-02,
Michigan,Brian Rolston,1995,2012,C,1256,342,419,761,65,472,,,,,,,Flint,1973-02-21,
Michigan,Dale Rominski,2000,2000,RW,3,0,1,1,1,2,,,,,,,Farmington Hills,1975-10-01,
Michigan,Matt Roy,2019,2021,D,125,8,25,33,18,22,,,,,,,Detroit,1995-03-01,
Michigan,Mike Rucinski,1998,2001,D,26,0,2,2,1,10,,,,,,,Trenton,1975-03-30,
Michigan,Bernie Ruelle,1944,1944,LW,2,1,0,1,,0,,,,,,,Houghton,1920-11-23,1995-08-04
Michigan,Pat Rupp,1964,1964,G,1,0,0,0,,0,1,0,1,0,0.867,4,Detroit,1942-08-12,2006-02-02
Michigan,Bryan Rust,2015,2021,RW,350,94,109,203,46,114,,,,,,,Pontiac,1992-05-11,
Michigan,Ron Serafini,1974,1974,D,2,0,0,0,-2,2,,,,,,,Highland Park,1953-10-31,
Michigan,John Sherf,1936,1944,LW,19,0,0,0,,8,,,,,,,Calumet,1913-04-08,1991-08-19
Michigan,Patrick Sieloff,2016,2018,D,2,2,0,2,-1,2,,,,,,,Ann Arbor,1994-05-15,
Michigan,Jim Slater,2006,2015,C,584,67,71,138,-17,407,,,,,,,Lapeer,1982-12-09,
Michigan,Dennis Smith,1990,1991,D,8,0,0,0,3,4,,,,,,,Detroit,1964-07-27,
Michigan,Jeremy Smith,2017,2017,G,10,0,0,0,0,0,10,1,6,1,0.888,3.54,Dearborn,1989-04-13,
Michigan,Ted Speers,1986,1986,RW,4,1,1,2,2,0,,,,,,,Ann Arbor,1961-01-28,
Michigan,Jim Storm,1994,1996,LW,84,7,15,22,5,44,,,,,,,Milford,1971-02-05,
Michigan,Chris Summers,2011,2016,D,70,2,7,9,-24,51,,,,,,,Ann Arbor,1988-02-05,
Michigan,Damian Surma,2003,2004,C,2,1,1,2,1,0,,,,,,,Lincoln Park,1981-01-22,
Michigan,Chris Tamer,1994,2004,D,644,21,64,85,-75,1183,,,,,,,Dearborn,1970-11-17,
Michigan,Chris Tancill,1991,1998,C,134,17,32,49,-30,54,,,,,,,Livonia,1968-02-07,
Michigan,Matt Taormina,2011,2016,D,59,4,8,12,3,6,,,,,,,Warren,1986-10-20,
Michigan,Tim Thomas,2003,2014,G,426,0,7,7,0,43,426,214,145,49,0.92,2.52,Flint,1974-04-15,
Michigan,Corey Tropp,2012,2017,RW,149,6,21,27,-12,133,,,,,,,Grosse Pointe Woods,1989-07-25,
Michigan,Jacob Trouba,2014,2021,D,512,50,167,217,31,380,,,,,,,Rochester,1994-02-26,
Michigan,Dean Turner,1979,1983,D,35,1,0,1,-5,59,,,,,,,Dearborn,1958-06-22,
Michigan,Rob Valicevic,1999,2004,RW,193,28,20,48,-13,61,,,,,,,Detroit,1971-01-06,
Michigan,John Vanbiesbrouck,1982,2002,G,882,0,35,38,0,310,882,374,346,119,0.899,2.98,Detroit,1963-09-04,
Michigan,Mike Vellucci,1988,1988,D,2,0,0,0,-1,11,,,,,,,Farmington,1966-08-11,
Michigan,Kris Vernarsky,2003,2004,C,17,1,0,1,-3,2,,,,,,,Detroit,1982-04-05,
Michigan,Don Waddell,1981,1981,D,1,0,0,0,-1,0,,,,,,,Detroit,1958-08-19,
Michigan,Austin Watson,2013,2021,LW,340,39,48,87,5,398,,,,,,,Ann Arbor,1992-01-13,
Michigan,Doug Weight,1992,2011,C,1238,278,755,1033,-58,970,,,,,,,Warren,1971-01-21,
Michigan,Zach Werenski,2017,2021,D,335,65,124,189,13,71,,,,,,,Grosse Pointe,1997-07-19,
Michigan,Carl Wetzel,1965,1968,G,7,0,0,0,0,0,7,1,4,1,0.858,4.39,Detroit,1938-12-12,
Michigan,James Wisniewski,2006,2016,D,552,53,221,274,-22,459,,,,,,,Canton,1984-02-21,
Michigan,Luke Witkowski,2015,2020,D,131,2,11,13,-11,162,,,,,,,Holland,1990-04-14,
Michigan,Craig Wolanin,1986,1998,D,695,40,133,173,-39,894,,,,,,,Grosse Pointe,1967-07-27,
Michigan,Mike York,2000,2009,LW,579,127,195,322,-34,135,,,,,,,Waterford,1978-01-03,
Michigan,Jeff Zatkoff,2014,2017,G,48,0,1,1,0,0,48,18,21,4,0.908,2.72,Detroit,1987-06-09,
Michigan,Rudy Zunich,1944,1944,D,2,0,0,0,,2,,,,,,,Calumet,1910-11-24,1974-03-13
Minnesota,Will Acton,2014,2015,C,33,3,2,5,-4,26,,,,,,,Edina,1987-07-16,
Minnesota,Jack Ahcan,2021,2021,D,2,0,0,0,-3,0,,,,,,,Savage,1997-05-18,
Minnesota,Rudy Ahlin,1938,1938,LW,1,0,0,0,,0,,,,,,,Eveleth,1908-12-13,1976-05-06
Minnesota,Andrew Alberts,2006,2014,D,459,8,47,55,2,492,,,,,,,Minneapolis,1981-06-30,
Minnesota,Steve Alley,1980,1981,LW,15,3,3,6,-3,11,,,,,,,Anoka,1953-12-29,
Minnesota,Earl Anderson,1975,1977,RW,109,19,19,38,-4,22,,,,,,,Roseau,1951-02-24,
Minnesota,Joey Anderson,2019,2021,RW,53,8,5,13,-5,10,,,,,,,Roseville,1998-06-19,
Minnesota,Russ Anderson,1977,1985,D,519,22,99,121,-64,1086,,,,,,,Minneapolis,1955-02-12,
Minnesota,Mike Antonovich,1976,1984,C,87,10,15,25,-27,37,,,,,,,Calumet,1951-10-18,
Minnesota,Les Auge,1981,1981,D,6,0,3,3,-3,4,,,,,,,St. Paul,1953-05-16,2002-09-20
Minnesota,David Backes,2007,2021,C,963,248,313,561,66,1146,,,,,,,Minneapolis,1984-05-01,
Minnesota,Bill Baker,1981,1983,D,143,7,25,32,-29,175,,,,,,,Grand Rapids,1956-11-29,
Minnesota,Keith Ballard,2006,2015,D,604,38,137,175,-13,612,,,,,,,Baudette,1982-11-26,
Minnesota,Mike Baumgartner,1975,1975,D,17,0,0,0,-9,0,,,,,,,Roseau,1949-01-30,
Minnesota,Kieffer Bellows,2020,2021,LW,22,5,1,6,3,6,,,,,,,Edina,1998-06-10,
Minnesota,Tim Bergland,1990,1994,RW,182,17,26,43,-22,75,,,,,,,Crookston,1965-01-11,
Minnesota,Adam Berkhoel,2006,2006,G,9,0,0,0,0,0,9,2,4,1,0.882,3.8,St. Paul,1981-05-16,
Minnesota,Stu Bickel,2012,2015,D,76,0,10,10,1,203,,,,,,,Chanhassen,1986-10-02,
Minnesota,Jake Bischoff,2020,2020,D,4,0,0,0,-2,4,,,,,,,Cambridge,1994-07-25,
Minnesota,Nick Bjugstad,2013,2021,C,476,103,119,222,-35,215,,,,,,,Minneapolis,1992-07-17,
Minnesota,Scott Bjugstad,1984,1992,RW,317,76,68,144,-37,144,,,,,,,St. Paul,1961-06-02,
Minnesota,Jason Blake,1999,2012,LW,871,213,273,486,-23,455,,,,,,,Moorhead,1973-09-02,
Minnesota,Brandon Bochenski,2006,2010,RW,156,28,40,68,1,54,,,,,,,Blaine,1982-04-04,
Minnesota,Brock Boeser,2017,2021,RW,234,91,103,194,-4,64,,,,,,,Burnsville,1997-02-25,
Minnesota,Brian Bonin,1999,2001,C,12,0,0,0,-5,0,,,,,,,St. Paul,1973-11-28,
Minnesota,Casey Borer,2008,2010,D,16,1,2,3,-4,9,,,,,,,Minneapolis,1985-07-28,
Minnesota,William Borgen,2019,2021,D,8,0,0,0,-5,2,,,,,,,Moorhead,1996-12-19,
Minnesota,Henry Boucha,1972,1977,C,247,53,49,102,-53,157,,,,,,,Warroad,1951-06-01,
Minnesota,Travis Boyd,2018,2021,C,105,11,28,39,18,12,,,,,,,Hopkins,1993-09-14,
Minnesota,Justin Braun,2011,2021,D,708,27,149,176,24,256,,,,,,,Minneapolis,1987-02-10,
Minnesota,Joe Bretto,1945,1945,D,3,0,0,0,,4,,,,,,,Hibbing,1912-11-28,2007-01-27
Minnesota,Frank Brimsek*,1939,1950,G,514,0,0,0,,6,514,252,182,80,,2.7,Eveleth,1915-09-26,1998-11-11
Minnesota,Milt Brink,1937,1937,C,5,0,0,0,,0,,,,,,,Hibbing,1910-11-26,1999-10-31
Minnesota,Jonny Brodzinski,2017,2021,C,61,7,6,13,6,14,,,,,,,Ham Lake,1993-06-19,
Minnesota,Aaron Broten,1981,1992,LW/C,748,186,329,515,-72,441,,,,,,,Roseau,1960-11-14,
Minnesota,Neal Broten,1981,1997,C,1099,289,634,923,19,569,,,,,,,Roseau,1959-11-29,
Minnesota,Paul Broten,1990,1996,RW,322,46,55,101,21,264,,,,,,,Roseau,1965-10-27,
Minnesota,J.T. Brown,2012,2019,RW,365,23,49,72,-5,221,,,,,,,Burnsville,1990-07-02,
Minnesota,Bill Butters,1978,1979,D,72,1,4,5,-16,77,,,,,,,St. Paul,1951-01-10,
Minnesota,Dustin Byfuglien,2006,2019,D,869,177,348,525,-8,1094,,,,,,,Roseau,1985-03-27,
Minnesota,Jack Carlson,1979,1987,LW,236,30,15,45,-2,417,,,,,,,Virginia,1954-08-23,
Minnesota,Steve Carlson,1980,1980,C,52,9,12,21,-7,23,,,,,,,Virginia,1955-08-26,
Minnesota,Ryan Carter,2008,2016,LW,473,41,52,93,-21,444,,,,,,,White Bear Lake,1983-08-03,
Minnesota,Jon Casey,1984,1997,G,425,0,13,13,0,126,425,170,157,55,0.888,3.22,Grand Rapids,1962-03-29,
Minnesota,Tom Chorske,1990,2000,LW,596,115,122,237,-2,225,,,,,,,Minneapolis,1966-09-18,
Minnesota,Dave Christian,1980,1994,RW,1009,340,433,773,-64,284,,,,,,,Warroad,1959-05-12,
Minnesota,Steve Christoff,1980,1984,C,248,77,64,141,-18,108,,,,,,,Richfield,1958-01-23,
Minnesota,Ben Clymer,2000,2007,RW,438,52,77,129,-64,367,,,,,,,Bloomington,1978-04-11,
Minnesota,Bob Collyard,1974,1974,C,10,1,3,4,1,4,,,,,,,Hibbing,1949-10-16,
Minnesota,Tim Conboy,2008,2010,D,59,0,6,6,-5,121,,,,,,,Farmington,1982-03-22,
Minnesota,Mike Crowley,1998,2001,D,67,5,15,20,-26,44,,,,,,,Bloomington,1975-07-04,
Minnesota,Mark Cullen,2006,2012,C,38,7,10,17,6,4,,,,,,,Moorhead,1978-10-28,
Minnesota,Matt Cullen,1998,2019,C,1516,266,465,731,-24,592,,,,,,,Virginia,1976-11-02,
Minnesota,Jim Cunningham,1978,1978,LW,1,0,0,0,1,4,,,,,,,St. Paul,1956-08-15,2011-04-29
Minnesota,John Curry,2009,2015,G,8,0,0,0,0,0,8,3,2,1,0.879,3.68,Shorewood,1984-02-27,
Minnesota,Chris Dahlquist,1986,1996,D,532,19,71,90,-51,488,,,,,,,Fridley,1962-12-14,
Minnesota,Cully Dahlstrom,1938,1945,C,345,88,118,206,,58,,,,,,,Minneapolis,1912-07-03,1998-12-19
Minnesota,Brad DeFauw,2003,2003,LW,9,3,0,3,-2,2,,,,,,,Edina,1977-11-10,
Minnesota,Bob Dill,1944,1945,D,76,15,15,30,,135,,,,,,,St. Paul,1920-04-25,1991-04-16
Minnesota,Joe Dziedzic,1996,1999,LW,130,14,14,28,-11,131,,,,,,,Minneapolis,1971-12-18,
Minnesota,Bryan Erickson,1984,1994,RW,351,80,125,205,4,141,,,,,,,Roseau,1960-03-07,
Minnesota,Chad Erickson,1992,1992,G,2,0,0,0,0,0,2,1,1,0,0.836,4.5,Minneapolis,1970-08-21,
Minnesota,Cade Fairchild,2012,2012,D,5,0,1,1,-1,0,,,,,,,Duluth,1989-01-15,
Minnesota,Kelly Fairchild,1996,2002,C,34,2,3,5,-3,6,,,,,,,Hibbing,1973-04-09,
Minnesota,Mike Farrell,2002,2004,RW,13,0,0,0,0,2,,,,,,,Edina,1978-10-20,
Minnesota,Justin Faulk,2012,2021,D,670,96,194,290,-94,320,,,,,,,South St. Paul,1992-03-20,
Minnesota,Rusty Fitzgerald,1995,1996,C,25,2,2,4,9,12,,,,,,,Minneapolis,1972-10-04,
Minnesota,Zack Fitzgerald,2008,2008,D,1,0,0,0,0,0,,,,,,,Two Harbors,1985-06-16,
Minnesota,Derek Forbort,2016,2021,D,318,8,55,63,9,211,,,,,,,Duluth,1992-03-04,
Minnesota,Jeff Frazee,2013,2013,G,1,0,0,0,0,0,1,0,0,0,1,0,Edina,1987-05-13,
Minnesota,Trevor Frischmon,2010,2010,C,3,0,0,0,0,4,,,,,,,Ham Lake,1981-08-05,
Minnesota,Gary Gambucci,1972,1974,C,51,2,7,9,7,9,,,,,,,Hibbing,1946-09-27,
Minnesota,Jake Gardiner,2012,2021,D,638,49,227,276,-13,217,,,,,,,Minnetonka,1990-07-04,
Minnesota,Ken Gernander,1996,2004,RW,12,2,3,5,-4,6,,,,,,,Coleraine,1969-06-30,
Minnesota,Shane Gersich,2018,2018,C/LW,3,0,1,1,-1,0,,,,,,,Chaska,1996-07-10,
Minnesota,Tom Gilbert,2007,2017,D,655,45,178,223,-40,198,,,,,,,Bloomington,1983-01-10,
Minnesota,Stan Gilbertson,1972,1977,LW,428,85,89,174,-170,148,,,,,,,Duluth,1944-10-29,
Minnesota,Leroy Goldsworthy,1930,1939,RW,336,66,57,123,,81,,,,,,,Two Harbors,1906-10-18,1980-03-16
Minnesota,Alex Goligoski,2008,2021,D,912,81,339,420,35,306,,,,,,,Grand Rapids,1985-07-30,
Minnesota,Tom Gorence,1979,1984,RW,303,58,53,111,28,89,,,,,,,St. Paul,1957-03-11,
Minnesota,Guy Gosselin,1988,1988,D,5,0,0,0,-1,6,,,,,,,Rochester,1964-01-06,
Minnesota,Jordan Gross,2020,2021,D,9,0,4,4,-1,2,,,,,,,Maple Grove,1995-05-09,
Minnesota,John Gruden,1994,2004,D,92,1,8,9,-4,46,,,,,,,Virginia,1970-06-04,
Minnesota,Al Hangsleben,1980,1982,D,185,21,48,69,5,396,,,,,,,Warroad,1953-02-22,
Minnesota,Ben Hankinson,1993,1995,RW,43,3,3,6,-3,45,,,,,,,Edina,1969-05-01,
Minnesota,Casey Hankinson,2001,2004,LW,18,0,1,1,-5,13,,,,,,,Edina,1976-05-08,
Minnesota,Keith Hanson,1984,1984,D,25,0,2,2,-14,77,,,,,,,Ada,1957-04-26,
Minnesota,Tim Harrer,1983,1983,RW,3,0,0,0,0,2,,,,,,,Bloomington,1957-05-10,
Minnesota,Brett Hauer,1996,2002,D,37,4,4,8,-16,38,,,,,,,Richfield,1971-07-11,
Minnesota,Adam Hauser,2006,2006,G,1,0,0,0,0,0,1,0,0,0,0.75,7.08,Bovey,1980-05-27,
Minnesota,Peter Hayek,1982,1982,D,1,0,0,0,-1,0,,,,,,,Minneapolis,1957-11-16,
Minnesota,Eriah Hayes,2014,2015,RW,19,1,0,1,-4,4,,,,,,,LaCresent,1988-07-07,
Minnesota,Mark Heaslip,1977,1979,RW,117,10,19,29,-9,110,,,,,,,Duluth,1951-12-26,
Minnesota,Bret Hedican,1992,2009,D,1039,55,239,294,-23,893,,,,,,,St. Paul,1970-08-10,
Minnesota,Seth Helgeson,2015,2017,D,50,1,3,4,1,50,,,,,,,Faribault,1990-10-08,
Minnesota,Matt Henderson,1999,2002,RW,6,0,1,1,-2,2,,,,,,,White Bear Lake,1974-06-22,
Minnesota,Matt Hendricks,2009,2019,C,607,54,62,116,-41,722,,,,,,,Blaine,1981-06-17,
Minnesota,Darby Hendrickson,1995,2004,C,518,65,64,129,-109,370,,,,,,,Richfield,1972-08-28,
Minnesota,Sean Hill,1993,2008,D,876,62,236,298,-46,1008,,,,,,,Duluth,1970-02-14,
Minnesota,Jack Hillen,2008,2015,D,304,13,58,71,-8,157,,,,,,,Minnetonka,1986-01-24,
Minnesota,Blake Hillman,2018,2018,D,4,1,0,1,-1,0,,,,,,,Elk River,1996-01-26,
Minnesota,Tom Hirsch,1984,1988,D,31,1,7,8,-15,30,,,,,,,Minneapolis,1963-01-27,
Minnesota,Phil Hoene,1973,1975,LW,37,2,4,6,-4,22,,,,,,,Duluth,1949-03-15,
Minnesota,Justin Holl,2018,2021,D,124,6,29,35,21,66,,,,,,,Tonka Bay,1992-01-30,
Minnesota,Paul Holmgren,1976,1985,RW,527,144,179,323,106,1684,,,,,,,St. Paul,1955-12-02,
Minnesota,Phil Housley*,1983,2003,D,1495,338,894,1232,-53,822,,,,,,,St. Paul,1964-03-09,
Minnesota,Don Jackson,1978,1987,D,315,16,52,68,78,640,,,,,,,Minneapolis,1956-09-02,
Minnesota,Steve Janaszak,1980,1982,G,3,0,0,0,0,0,3,0,1,1,0.874,5.63,St. Paul,1957-01-07,
Minnesota,David Jensen,1984,1986,D,18,0,2,2,-5,11,,,,,,,Minneapolis,1961-05-03,
Minnesota,Joe Jensen,2008,2008,C,6,1,0,1,1,2,,,,,,,Maple Grove,1983-02-06,
Minnesota,Nick Jensen,2017,2021,D,318,8,60,68,-2,85,,,,,,,Rogers,1990-09-21,
Minnesota,Steve Jensen,1976,1982,LW,438,113,107,220,-125,318,,,,,,,Minneapolis,1955-04-14,
Minnesota,John Johannson,1984,1984,C,5,0,0,0,-2,0,,,,,,,Rochester,1961-10-18,
Minnesota,Adam Johnson,2019,2020,C,13,1,3,4,1,2,,,,,,,Grand Rapids,1994-06-22,
Minnesota,Craig Johnson,1995,2004,LW,557,75,98,173,-33,260,,,,,,,St. Paul,1972-03-18,
Minnesota,Erik Johnson,2008,2021,D,780,80,224,304,-27,478,,,,,,,Bloomington,1988-03-21,
Minnesota,Jim Johnson,1986,1998,D,829,29,166,195,14,1197,,,,,,,New Hope,1962-08-09,
Minnesota,Mark Johnson,1980,1990,C,669,203,305,508,-116,269,,,,,,,Minneapolis,1957-09-22,
Minnesota,Virgil Johnson,1938,1945,D,76,1,11,12,,27,,,,,,,Minneapolis,1912-03-04,1993-09-09
Minnesota,Mike Karakas,1936,1946,G,336,0,1,1,,4,336,114,169,53,,2.91,Aurora,1911-12-12,1992-05-02
Minnesota,Chris Kenady,1998,2000,RW,7,0,2,2,0,0,,,,,,,Mound,1973-04-10,
Minnesota,Matt Kiersted,2021,2021,D,5,0,0,0,-2,2,,,,,,,Elk River,1998-04-14,
Minnesota,Trent Klatt,1992,2004,RW,782,143,200,343,44,307,,,,,,,Robbinsdale,1971-01-30,
Minnesota,Scot Kleinendorst,1983,1990,D,281,12,46,58,-12,452,,,,,,,Grand Rapids,1960-01-16,2019-12-17
Minnesota,Justin Kloos,2018,2019,C,2,0,0,0,0,2,,,,,,,Lakeville,1993-11-30,
Minnesota,Matt Koalska,2006,2006,C,3,0,0,0,-1,2,,,,,,,St. Paul,1980-05-16,
Minnesota,Jim Korn,1980,1990,D/LW,597,66,122,188,-131,1801,,,,,,,Hopkins,1957-07-28,
Minnesota,Karson Kuhlman,2019,2021,C,51,6,7,13,4,15,,,,,,,Esko,1995-09-26,
Minnesota,Tom Kurvers,1985,1995,D,659,93,328,421,-38,350,,,,,,,Minneapolis,1962-09-14,
Minnesota,Joseph Labate,2017,2017,C,13,0,0,0,-2,21,,,,,,,Burnsville,1993-04-16,
Minnesota,Bryce Lampman,2004,2007,D,10,0,0,0,-5,2,,,,,,,Rochester,1982-08-31,
Minnesota,Jamie Langenbrunner,1995,2013,RW,1109,243,420,663,62,837,,,,,,,Cloquet,1975-07-24,
Minnesota,Dave Langevin,1980,1987,D,513,12,107,119,103,530,,,,,,,St. Paul,1954-05-15,
Minnesota,Josh Langfeld,2002,2008,RW,143,9,23,32,8,60,,,,,,,Fridley,1977-07-17,
Minnesota,Reed Larson,1977,1990,D,904,222,463,685,-128,1388,,,,,,,Minneapolis,1956-07-30,
Minnesota,Mike Lauen,1984,1984,RW,4,0,1,1,0,0,,,,,,,Edina,1961-02-09,
Minnesota,Drew LeBlanc,2013,2013,C,2,0,0,0,-3,0,,,,,,,Duluth,1989-06-29,
Minnesota,Nick Leddy,2011,2021,D,762,64,266,330,-28,143,,,,,,,Eden Prairie,1991-03-20,
Minnesota,Anders Lee,2013,2021,LW,520,184,136,320,30,315,,,,,,,Edina,1990-07-03,
Minnesota,Brian Lee,2008,2013,D,209,5,31,36,-37,124,,,,,,,Moorhead,1987-03-26,
